research_house,publication_date,metric_description,value,unit,scope,source_url,notes
NVIDIA,2026-06,Telecom sector agentic AI adoption rate (highest of all industries surveyed),48,%,production+deployed,https://blogs.nvidia.com/blog/state-of-ai-report-2026/,"State of AI Report 2026; ~3200 respondents across telecom, retail/CPG, financial services, healthcare, manufacturing"
NVIDIA,2026-06,Retail and CPG sector agentic AI adoption rate (second-highest),47,%,production+deployed,https://blogs.nvidia.com/blog/state-of-ai-report-2026/,Same report as above
NVIDIA,2026-06,Companies either deploying or assessing AI agents (2025 survey window),44,%,mixed exploratory+production,https://blogs.nvidia.com/blog/state-of-ai-report-2026/,Captures the 2025 experimentation phase specifically
Bain & Company,2026-06,Companies running fully autonomous AI agents (rest run augmented workflows),7,%,production,https://www.bain.com/insights/your-ai-budget-is-growing-your-returns-arent-heres-why/,Bain Agentic AI Benchmark 2026; augmented workflows deliver ~30-60% of projected savings vs full autonomy
Bain & Company,2026-06,Cost-per-task reduction: customer service agents (contained ticket) vs. human agent,9,x cost reduction,production,https://www.bain.com/insights/your-ai-budget-is-growing-your-returns-arent-heres-why/,"$0.46 agent-resolved vs $4.18 human-handled; median payback 4.1 months"
Bain & Company,2026-06,Cost-per-task reduction: code-review agents (routine PR) vs. senior engineer,66,x cost reduction,production,https://www.bain.com/insights/your-ai-budget-is-growing-your-returns-arent-heres-why/,"$0.72 agent vs $48 senior-engineer time; median payback 9.3 months"
Gartner,2025-08-26,Enterprise applications forecast to embed task-specific AI agents by end of 2026 (up from <5% in 2025),40,%,forecast,https://www.gartner.com/en/newsroom/press-releases/2025-08-26-gartner-predicts-40-percent-of-enterprise-apps-will-feature-task-specific-ai-agents-by-2026-up-from-less-than-5-percent-in-2025,Forward-looking prediction, not a measured-adoption figure
Gartner,2025-06-25,Agentic AI projects predicted to be canceled by end of 2027,40,% (>40%),forecast,https://www.gartner.com/en/newsroom/press-releases/2025-06-25-gartner-predicts-over-40-percent-of-agentic-ai-projects-will-be-canceled-by-end-of-2027,"Cited reasons: escalating costs, unclear business value, inadequate risk controls"
S&P Global Market Intelligence / McKinsey,2026,Enterprises with at least one AI agent in production,31,%,production,https://www.digitalapplied.com/blog/ai-agent-adoption-2026-enterprise-data-points,Figure as cited in secondary aggregation; could not locate the S&P/McKinsey primary report directly -- treat as lower-confidence than the NVIDIA/Bain/Gartner primary-source rows
S&P Global Market Intelligence / McKinsey,2026,Banking and insurance sector AI agents in production (leading sector),47,%,production,https://www.digitalapplied.com/blog/ai-agent-adoption-2026-enterprise-data-points,Same confidence caveat as row above
McKinsey,2025,Organizations actively scaling an agentic AI system in at least one business function,23,%,production,https://joget.com/ai-agent-adoption-in-2026-what-the-analysts-data-shows/,McKinsey State of AI 2025 report, as cited
McKinsey,2025,Organizations experimenting with agentic AI (not yet scaled),39,%,exploratory,https://joget.com/ai-agent-adoption-in-2026-what-the-analysts-data-shows/,Same report as above
Stacklok,2026-01,Software-sector organizations in limited or broad production with MCP servers,41,%,production,https://stacklok.com/wp-content/uploads/2026/01/State-of-MCP-in-Software-2026_FINAL.pdf,"State of MCP in Software 2026; 100 senior technical leader responses. Explicitly supersedes an earlier unsourced 78% claim that had circulated"
Gartner,UNVERIFIED,"""15.2% cost savings"" -- referenced in the original task brief as a Gartner 2026 benchmark",,%,UNVERIFIED,,"Could not locate this figure in any Gartner publication after multiple targeted searches. Likely a fabricated or misattributed statistic -- excluded from analysis. Do not cite."
